INDEX	KEYVALUE	LABEL	RED	GREEN	BLUE	ALPHA	HEMISPHERE	NETWORK	NETWORKKEY	NETWORKSORTEDORDER
534	5150	Dorsal-Attention-15_R-Cerebellum	0	1	0	1		Dorsal-Attention	5	628
535	5160	Dorsal-Attention-16_R-Cerebellum	0	1	0	1		Dorsal-Attention	5	629
536	5170	Dorsal-Attention-17_R-Cerebellum	0	1	0	1		Dorsal-Attention	5	630
537	5180	Dorsal-Attention-18_R-Cerebellum	0	1	0	1		Dorsal-Attention	5	631
538	5190	Dorsal-Attention-19_R-Cerebellum	0	1	0	1		Dorsal-Attention	5	632
539	5200	Dorsal-Attention-20_R-Cerebellum	0	1	0	1		Dorsal-Attention	5	633
540	5210	Dorsal-Attention-21_L-Putamen	0	1	0	1		Dorsal-Attention	5	634
541	5220	Dorsal-Attention-22_R-Putamen	0	1	0	1		Dorsal-Attention	5	635
542	5230	Dorsal-Attention-23_L-Thalamus	0	1	0	1		Dorsal-Attention	5	636
543	5240	Dorsal-Attention-24_R-Thalamus	0	1	0	1		Dorsal-Attention	5	30
544	6010	Language-01_L-Amygdala	0	0.608	0.608	1		Language	6	31
545	6020	Language-02_R-Amygdala	0	0.608	0.608	1		Language	6	32
546	6030	Language-03_L-Caudate	0	0.608	0.608	1		Language	6	33
547	6040	Language-04_R-Caudate	0	0.608	0.608	1		Language	6	34
548	6050	Language-05_L-Cerebellum	0	0.608	0.608	1		Language	6	35
549	6060	Language-06_R-Cerebellum	0	0.608	0.608	1		Language	6	61
550	6070	Language-07_R-Cerebellum	0	0.608	0.608	1		Language	6	62
551	6080	Language-08_R-Cerebellum	0	0.608	0.608	1		Language	6	64
552	6090	Language-09_R-Cerebellum	0	0.608	0.608	1		Language	6	65
553	6100	Language-10_R-Cerebellum	0	0.608	0.608	1		Language	6	66
554	6110	Language-11_R-Cerebellum	0	0.608	0.608	1		Language	6	67
555	6120	Language-12_R-Cerebellum	0	0.608	0.608	1		Language	6	68
556	6130	Language-13_R-Cerebellum	0	0.608	0.608	1		Language	6	69
557	6140	Language-14_L-Putamen	0	0.608	0.608	1		Language	6	70
558	7010	Frontoparietal-01_L-Brainstem	1	1	0	1		Frontoparietal	7	71
559	7020	Frontoparietal-02_L-Brainstem	1	1	0	1		Frontoparietal	7	72
560	7030	Frontoparietal-03_LR-Brainstem	1	1	0	1		Frontoparietal	7	76
561	7040	Frontoparietal-04_R-Brainstem	1	1	0	1		Frontoparietal	7	87
562	7050	Frontoparietal-05_R-Brainstem	1	1	0	1		Frontoparietal	7	88
563	7060	Frontoparietal-06_L-Brainstem	1	1	0	1		Frontoparietal	7	90
564	7070	Frontoparietal-07_LR-Brainstem	1	1	0	1		Frontoparietal	7	93
565	7080	Frontoparietal-08_R-Brainstem	1	1	0	1		Frontoparietal	7	94
566	7090	Frontoparietal-09_L-Brainstem	1	1	0	1		Frontoparietal	7	118
567	7100	Frontoparietal-10_L-Caudate	1	1	0	1		Frontoparietal	7	119
568	7110	Frontoparietal-11_R-Caudate	1	1	0	1		Frontoparietal	7	120
569	7120	Frontoparietal-12_L-Cerebellum	1	1	0	1		Frontoparietal	7	126
570	7130	Frontoparietal-13_L-Cerebellum	1	1	0	1		Frontoparietal	7	130
571	7140	Frontoparietal-14_L-Cerebellum	1	1	0	1		Frontoparietal	7	131
572	7150	Frontoparietal-15_L-Cerebellum	1	1	0	1		Frontoparietal	7	132
573	7160	Frontoparietal-16_L-Cerebellum	1	1	0	1		Frontoparietal	7	134
574	7170	Frontoparietal-17_L-Cerebellum	1	1	0	1		Frontoparietal	7	150
575	7180	Frontoparietal-18_L-Cerebellum	1	1	0	1		Frontoparietal	7	151
576	7190	Frontoparietal-19_L-Cerebellum	1	1	0	1		Frontoparietal	7	155
577	7200	Frontoparietal-20_L-Cerebellum	1	1	0	1		Frontoparietal	7	161
578	7210	Frontoparietal-21_L-Cerebellum	1	1	0	1		Frontoparietal	7	162
579	7220	Frontoparietal-22_L-Cerebellum	1	1	0	1		Frontoparietal	7	164
580	7230	Frontoparietal-23_L-Cerebellum	1	1	0	1		Frontoparietal	7	165
581	7240	Frontoparietal-24_L-Cerebellum	1	1	0	1		Frontoparietal	7	176
582	7250	Frontoparietal-25_L-Cerebellum	1	1	0	1		Frontoparietal	7	177
583	7260	Frontoparietal-26_R-Cerebellum	1	1	0	1		Frontoparietal	7	210
584	7270	Frontoparietal-27_R-Cerebellum	1	1	0	1		Frontoparietal	7	211
585	7280	Frontoparietal-28_R-Cerebellum	1	1	0	1		Frontoparietal	7	212
586	7290	Frontoparietal-29_R-Cerebellum	1	1	0	1		Frontoparietal	7	213
587	7300	Frontoparietal-30_R-Cerebellum	1	1	0	1		Frontoparietal	7	214
588	7310	Frontoparietal-31_R-Cerebellum	1	1	0	1		Frontoparietal	7	215
589	7320	Frontoparietal-32_R-Cerebellum	1	1	0	1		Frontoparietal	7	241
590	7330	Frontoparietal-33_R-Cerebellum	1	1	0	1		Frontoparietal	7	244
591	7340	Frontoparietal-34_R-Cerebellum	1	1	0	1		Frontoparietal	7	245
592	7350	Frontoparietal-35_R-Cerebellum	1	1	0	1		Frontoparietal	7	246
593	7360	Frontoparietal-36_R-Cerebellum	1	1	0	1		Frontoparietal	7	247
594	7370	Frontoparietal-37_R-Cerebellum	1	1	0	1		Frontoparietal	7	248
595	7380	Frontoparietal-38_R-Cerebellum	1	1	0	1		Frontoparietal	7	249
596	7390	Frontoparietal-39_L-Diencephalon	1	1	0	1		Frontoparietal	7	250
597	7400	Frontoparietal-40_R-Diencephalon	1	1	0	1		Frontoparietal	7	251
598	7410	Frontoparietal-41_L-Hippocampus	1	1	0	1		Frontoparietal	7	252
599	7420	Frontoparietal-42_L-Pallidum	1	1	0	1		Frontoparietal	7	256
600	7430	Frontoparietal-43_R-Pallidum	1	1	0	1		Frontoparietal	7	267
601	7440	Frontoparietal-44_R-Pallidum	1	1	0	1		Frontoparietal	7	268
602	7450	Frontoparietal-45_L-Putamen	1	1	0	1		Frontoparietal	7	270
603	7460	Frontoparietal-46_R-Putamen	1	1	0	1		Frontoparietal	7	274
604	7470	Frontoparietal-47_L-Thalamus	1	1	0	1		Frontoparietal	7	298
605	7480	Frontoparietal-48_R-Thalamus	1	1	0	1		Frontoparietal	7	299
606	8010	Auditory-01_L-Accumbens	0.98	0.243	0.984	1		Auditory	8	300
607	8020	Auditory-02_R-Brainstem	0.98	0.243	0.984	1		Auditory	8	306
608	8030	Auditory-03_L-Brainstem	0.98	0.243	0.984	1		Auditory	8	308
609	8040	Auditory-04_L-Brainstem	0.98	0.243	0.984	1		Auditory	8	310
610	8050	Auditory-05_LR-Brainstem	0.98	0.243	0.984	1		Auditory	8	311
611	8060	Auditory-06_L-Cerebellum	0.98	0.243	0.984	1		Auditory	8	312
612	8070	Auditory-07_R-Cerebellum	0.98	0.243	0.984	1		Auditory	8	314
613	8080	Auditory-08_L-Diencephalon	0.98	0.243	0.984	1		Auditory	8	330
614	8090	Auditory-09_L-Diencephalon	0.98	0.243	0.984	1		Auditory	8	331
615	8100	Auditory-10_L-Diencephalon	0.98	0.243	0.984	1		Auditory	8	335
616	8110	Auditory-11_R-Diencephalon	0.98	0.243	0.984	1		Auditory	8	341
617	8120	Auditory-12_R-Diencephalon	0.98	0.243	0.984	1		Auditory	8	344
618	8130	Auditory-13_R-Diencephalon	0.98	0.243	0.984	1		Auditory	8	345
619	8140	Auditory-14_L-Hippocampus	0.98	0.243	0.984	1		Auditory	8	356
620	8150	Auditory-15_L-Hippocampus	0.98	0.243	0.984	1		Auditory	8	637
621	8160	Auditory-16_L-Hippocampus	0.98	0.243	0.984	1		Auditory	8	638
622	8170	Auditory-17_L-Hippocampus	0.98	0.243	0.984	1		Auditory	8	639
623	8180	Auditory-18_R-Hippocampus	0.98	0.243	0.984	1		Auditory	8	640
624	8190	Auditory-19_R-Hippocampus	0.98	0.243	0.984	1		Auditory	8	641
625	8200	Auditory-20_L-Pallidum	0.98	0.243	0.984	1		Auditory	8	642
626	8210	Auditory-21_L-Pallidum	0.98	0.243	0.984	1		Auditory	8	643
627	8220	Auditory-22_R-Pallidum	0.98	0.243	0.984	1		Auditory	8	644
628	8230	Auditory-23_L-Thalamus	0.98	0.243	0.984	1		Auditory	8	645
629	8240	Auditory-24_L-Thalamus	0.98	0.243	0.984	1		Auditory	8	646
630	8250	Auditory-25_L-Thalamus	0.98	0.243	0.984	1		Auditory	8	647
631	8260	Auditory-26_L-Thalamus	0.98	0.243	0.984	1		Auditory	8	648
632	8270	Auditory-27_L-Thalamus	0.98	0.243	0.984	1		Auditory	8	649
633	8280	Auditory-28_R-Thalamus	0.98	0.243	0.984	1		Auditory	8	650
634	8290	Auditory-29_R-Thalamus	0.98	0.243	0.984	1		Auditory	8	651
635	8300	Auditory-30_R-Thalamus	0.98	0.243	0.984	1		Auditory	8	652
636	8310	Auditory-31_R-Thalamus	0.98	0.243	0.984	1		Auditory	8	653
637	9010	Default-01_L-Accumbens	1	0	0	1		Default	9	654
638	9020	Default-02_R-Accumbens	1	0	0	1		Default	9	655
639	9030	Default-03_LR-Brainstem	1	0	0	1		Default	9	656
640	9040	Default-04_LR-Brainstem	1	0	0	1		Default	9	657
641	9050	Default-05_L-Caudate	1	0	0	1		Default	9	658
642	9060	Default-06_L-Caudate	1	0	0	1		Default	9	659
643	9070	Default-07_L-Caudate	1	0	0	1		Default	9	660
644	9080	Default-08_R-Caudate	1	0	0	1		Default	9	661
645	9090	Default-09_R-Caudate	1	0	0	1		Default	9	662
646	9100	Default-10_L-Cerebellum	1	0	0	1		Default	9	663
647	9110	Default-11_L-Cerebellum	1	0	0	1		Default	9	664
648	9120	Default-12_L-Cerebellum	1	0	0	1		Default	9	665
649	9130	Default-13_L-Cerebellum	1	0	0	1		Default	9	666
650	9140	Default-14_R-Cerebellum	1	0	0	1		Default	9	667
651	9150	Default-15_R-Cerebellum	1	0	0	1		Default	9	668
652	9160	Default-16_R-Cerebellum	1	0	0	1		Default	9	27
653	9170	Default-17_R-Cerebellum	1	0	0	1		Default	9	140
654	9180	Default-18_L-Diencephalon	1	0	0	1		Default	9	141
655	9190	Default-19_L-Diencephalon	1	0	0	1		Default	9	207
656	9200	Default-20_R-Diencephalon	1	0	0	1		Default	9	208
657	9210	Default-21_R-Diencephalon	1	0	0	1		Default	9	320
658	9220	Default-22_R-Diencephalon	1	0	0	1		Default	9	321
659	9230	Default-23_L-Hippocampus	1	0	0	1		Default	9	669
660	9240	Default-24_L-Hippocampus	1	0	0	1		Default	9	670
661	9250	Default-25_R-Hippocampus	1	0	0	1		Default	9	671
662	9260	Default-26_R-Hippocampus	1	0	0	1		Default	9	672
663	9270	Default-27_L-Thalamus	1	0	0	1		Default	9	673
664	9280	Default-28_L-Thalamus	1	0	0	1		Default	9	674
665	9290	Default-29_L-Thalamus	1	0	0	1		Default	9	675
666	9300	Default-30_R-Thalamus	1	0	0	1		Default	9	676
667	9310	Default-31_R-Thalamus	1	0	0	1		Default	9	677
668	9320	Default-32_R-Thalamus	1	0	0	1		Default	9	678
669	10010	Posterior-Multimodal-01_L-Amygdala	0.694	0.349	0.157	1		Posterior-Multimodal	10	679
670	10020	Posterior-Multimodal-02_R-Amygdala	0.694	0.349	0.157	1		Posterior-Multimodal	10	680
671	10030	Posterior-Multimodal-03_R-Brainstem	0.694	0.349	0.157	1		Posterior-Multimodal	10	681
672	10040	Posterior-Multimodal-04_R-Brainstem	0.694	0.349	0.157	1		Posterior-Multimodal	10	682
673	10050	Posterior-Multimodal-05_L-Brainstem	0.694	0.349	0.157	1		Posterior-Multimodal	10	683
674	10060	Posterior-Multimodal-06_L-Brainstem	0.694	0.349	0.157	1		Posterior-Multimodal	10	684
675	10070	Posterior-Multimodal-07_R-Brainstem	0.694	0.349	0.157	1		Posterior-Multimodal	10	685
676	10080	Posterior-Multimodal-08_L-Brainstem	0.694	0.349	0.157	1		Posterior-Multimodal	10	686
677	10090	Posterior-Multimodal-09_LR-Brainstem	0.694	0.349	0.157	1		Posterior-Multimodal	10	687
678	10100	Posterior-Multimodal-10_L-Cerebellum	0.694	0.349	0.157	1		Posterior-Multimodal	10	688
679	10110	Posterior-Multimodal-11_L-Cerebellum	0.694	0.349	0.157	1		Posterior-Multimodal	10	689
680	10120	Posterior-Multimodal-12_L-Cerebellum	0.694	0.349	0.157	1		Posterior-Multimodal	10	690
681	10130	Posterior-Multimodal-13_L-Cerebellum	0.694	0.349	0.157	1		Posterior-Multimodal	10	691
682	10140	Posterior-Multimodal-14_L-Cerebellum	0.694	0.349	0.157	1		Posterior-Multimodal	10	692
683	10150	Posterior-Multimodal-15_R-Cerebellum	0.694	0.349	0.157	1		Posterior-Multimodal	10	693
684	10160	Posterior-Multimodal-16_R-Cerebellum	0.694	0.349	0.157	1		Posterior-Multimodal	10	694
685	10170	Posterior-Multimodal-17_R-Cerebellum	0.694	0.349	0.157	1		Posterior-Multimodal	10	695
686	10180	Posterior-Multimodal-18_R-Cerebellum	0.694	0.349	0.157	1		Posterior-Multimodal	10	696
687	10190	Posterior-Multimodal-19_R-Cerebellum	0.694	0.349	0.157	1		Posterior-Multimodal	10	697
688	10200	Posterior-Multimodal-20_R-Cerebellum	0.694	0.349	0.157	1		Posterior-Multimodal	10	122
689	10210	Posterior-Multimodal-21_L-Diencephalon	0.694	0.349	0.157	1		Posterior-Multimodal	10	135
690	10220	Posterior-Multimodal-22_L-Diencephalon	0.694	0.349	0.157	1		Posterior-Multimodal	10	302
691	10230	Posterior-Multimodal-23_L-Diencephalon	0.694	0.349	0.157	1		Posterior-Multimodal	10	315
692	10240	Posterior-Multimodal-24_R-Diencephalon	0.694	0.349	0.157	1		Posterior-Multimodal	10	698
693	10250	Posterior-Multimodal-25_R-Diencephalon	0.694	0.349	0.157	1		Posterior-Multimodal	10	699
694	10260	Posterior-Multimodal-26_R-Diencephalon	0.694	0.349	0.157	1		Posterior-Multimodal	10	700
695	10270	Posterior-Multimodal-27_R-Diencephalon	0.694	0.349	0.157	1		Posterior-Multimodal	10	701
696	10280	Posterior-Multimodal-28_L-Thalamus	0.694	0.349	0.157	1		Posterior-Multimodal	10	110
697	10290	Posterior-Multimodal-29_R-Thalamus	0.694	0.349	0.157	1		Posterior-Multimodal	10	112
698	11010	Ventral-Multimodal-01_L-Amygdala	1	0.616	0	1		Ventral-Multimodal	11	166
699	11020	Ventral-Multimodal-02_R-Amygdala	1	0.616	0	1		Ventral-Multimodal	11	290
700	11030	Ventral-Multimodal-03_L-Hippocampus	1	0.616	0	1		Ventral-Multimodal	11	292
701	11040	Ventral-Multimodal-04_R-Hippocampus	1	0.616	0	1		Ventral-Multimodal	11	346
702	12010	Orbito-Affective-01_L-Accumbens	0.255	0.49	0	0.659		Orbito-Affective	12	702
703	12020	Orbito-Affective-02_R-Accumbens	0.255	0.49	0	0.659		Orbito-Affective	12	703
704	12030	Orbito-Affective-03_L-Caudate	0.255	0.49	0	0.659		Orbito-Affective	12	704
705	12040	Orbito-Affective-04_R-Caudate	0.255	0.49	0	0.659		Orbito-Affective	12	705
706	12050	Orbito-Affective-05_L-Diencephalon	0.255	0.49	0	0.659		Orbito-Affective	12	706
707	12060	Orbito-Affective-06_L-Diencephalon	0.255	0.49	0	0.659		Orbito-Affective	12	707
708	12070	Orbito-Affective-07_R-Diencephalon	0.255	0.49	0	0.659		Orbito-Affective	12	708
709	12080	Orbito-Affective-08_R-Diencephalon	0.255	0.49	0	0.659		Orbito-Affective	12	709
710	12090	Orbito-Affective-09_L-Pallidum	0.255	0.49	0	0.659		Orbito-Affective	12	710
711	12100	Orbito-Affective-10_L-Pallidum	0.255	0.49	0	0.659		Orbito-Affective	12	711
712	12110	Orbito-Affective-11_L-Pallidum	0.255	0.49	0	0.659		Orbito-Affective	12	712
713	12120	Orbito-Affective-12_R-Pallidum	0.255	0.49	0	0.659		Orbito-Affective	12	713
714	12130	Orbito-Affective-13_R-Pallidum	0.255	0.49	0	0.659		Orbito-Affective	12	714
715	12140	Orbito-Affective-14_L-Putamen	0.255	0.49	0	0.659		Orbito-Affective	12	715
716	12150	Orbito-Affective-15_L-Putamen	0.255	0.49	0	0.659		Orbito-Affective	12	716
717	12160	Orbito-Affective-16_R-Putamen	0.255	0.49	0	0.659		Orbito-Affective	12	717
718	12170	Orbito-Affective-17_R-Putamen	0.255	0.49	0	0.659		Orbito-Affective	12	718
